path,corpus,speaker,split,orig_label,emotion,label_idx
data\raw\cremad\AudioWAV\1001_ITH_FEA_XX.wav,cremad,1001,,FEA,fear,2
data\raw\cremad\AudioWAV\1001_ITH_HAP_XX.wav,cremad,1001,,HAP,happy,3
data\raw\cremad\AudioWAV\1001_ITH_NEU_XX.wav,cremad,1001,,NEU,neutral,4
data\raw\cremad\AudioWAV\1001_ITH_SAD_XX.wav,cremad,1001,,SAD,sad,5
data\raw\cremad\AudioWAV\1001_ITS_ANG_XX.wav,cremad,1001,,ANG,angry,0
data\raw\cremad\AudioWAV\1001_ITS_DIS_XX.wav,cremad,1001,,DIS,disgust,1
data\raw\cremad\AudioWAV\1001_ITS_FEA_XX.wav,cremad,1001,,FEA,fear,2
data\raw\cremad\AudioWAV\1001_ITS_HAP_XX.wav,cremad,1001,,HAP,happy,3
data\raw\cremad\AudioWAV\1001_ITS_NEU_XX.wav,cremad,1001,,NEU,neutral,4
data\raw\cremad\AudioWAV\1001_ITS_SAD_XX.wav,cremad,1001,,SAD,sad,5
data\raw\cremad\AudioWAV\1001_IWL_ANG_XX.wav,cremad,1001,,ANG,angry,0
data\raw\cremad\AudioWAV\1001_IWL_DIS_XX.wav,cremad,1001,,DIS,disgust,1
data\raw\cremad\AudioWAV\1001_IWL_FEA_XX.wav,cremad,1001,,FEA,fear,2
data\raw\cremad\AudioWAV\1001_IWL_HAP_XX.wav,cremad,1001,,HAP,happy,3
data\raw\cremad\AudioWAV\1001_IWL_NEU_XX.wav,cremad,1001,,NEU,neutral,4
data\raw\cremad\AudioWAV\1001_IWL_SAD_XX.wav,cremad,1001,,SAD,sad,5
data\raw\cremad\AudioWAV\1001_IWW_ANG_XX.wav,cremad,1001,,ANG,angry,0
data\raw\cremad\AudioWAV\1001_IWW_DIS_XX.wav,cremad,1001,,DIS,disgust,1
data\raw\cremad\AudioWAV\1001_IWW_FEA_XX.wav,cremad,1001,,FEA,fear,2
data\raw\cremad\AudioWAV\1001_IWW_HAP_XX.wav,cremad,1001,,HAP,happy,3
data\raw\cremad\AudioWAV\1001_IWW_NEU_XX.wav,cremad,1001,,NEU,neutral,4
data\raw\cremad\AudioWAV\1001_IWW_SAD_XX.wav,cremad,1001,,SAD,sad,5
data\raw\cremad\AudioWAV\1001_MTI_ANG_XX.wav,cremad,1001,,ANG,angry,0
data\raw\cremad\AudioWAV\1001_MTI_DIS_XX.wav,cremad,1001,,DIS,disgust,1
data\raw\cremad\AudioWAV\1001_MTI_FEA_XX.wav,cremad,1001,,FEA,fear,2
data\raw\cremad\AudioWAV\1001_MTI_HAP_XX.wav,cremad,1001,,HAP,happy,3
data\raw\cremad\AudioWAV\1001_MTI_NEU_XX.wav,cremad,1001,,NEU,neutral,4
data\raw\cremad\AudioWAV\1001_MTI_SAD_XX.wav,cremad,1001,,SAD,sad,5
data\raw\cremad\AudioWAV\1001_TAI_ANG_XX.wav,cremad,1001,,ANG,angry,0
data\raw\cremad\AudioWAV\1001_TAI_DIS_XX.wav,cremad,1001,,DIS,disgust,1
data\raw\cremad\AudioWAV\1001_TAI_FEA_XX.wav,cremad,1001,,FEA,fear,2
data\raw\cremad\AudioWAV\1001_TAI_HAP_XX.wav,cremad,1001,,HAP,happy,3
data\raw\cremad\AudioWAV\1001_TAI_NEU_XX.wav,cremad,1001,,NEU,neutral,4
data\raw\cremad\AudioWAV\1001_TAI_SAD_XX.wav,cremad,1001,,SAD,sad,5
data\raw\cremad\AudioWAV\1001_TIE_ANG_XX.wav,cremad,1001,,ANG,angry,0
data\raw\cremad\AudioWAV\1001_TIE_DIS_XX.wav,cremad,1001,,DIS,disgust,1
data\raw\cremad\AudioWAV\1001_TIE_FEA_XX.wav,cremad,1001,,FEA,fear,2
data\raw\cremad\AudioWAV\1001_TIE_HAP_XX.wav,cremad,1001,,HAP,happy,3
data\raw\cremad\AudioWAV\1001_TIE_NEU_XX.wav,cremad,1001,,NEU,neutral,4
data\raw\cremad\AudioWAV\1001_TIE_SAD_XX.wav,cremad,1001,,SAD,sad,5
data\raw\cremad\AudioWAV\1001_TSI_ANG_XX.wav,cremad,1001,,ANG,angry,0
data\raw\cremad\AudioWAV\1001_TSI_DIS_XX.wav,cremad,1001,,DIS,disgust,1
data\raw\cremad\AudioWAV\1001_TSI_FEA_XX.wav,cremad,1001,,FEA,fear,2
data\raw\cremad\AudioWAV\1001_TSI_HAP_XX.wav,cremad,1001,,HAP,happy,3
data\raw\cremad\AudioWAV\1001_TSI_NEU_XX.wav,cremad,1001,,NEU,neutral,4
data\raw\cremad\AudioWAV\1001_TSI_SAD_XX.wav,cremad,1001,,SAD,sad,5
data\raw\cremad\AudioWAV\1001_WSI_ANG_XX.wav,cremad,1001,,ANG,angry,0
data\raw\cremad\AudioWAV\1001_WSI_DIS_XX.wav,cremad,1001,,DIS,disgust,1
data\raw\cremad\AudioWAV\1001_WSI_FEA_XX.wav,cremad,1001,,FEA,fear,2
data\raw\cremad\AudioWAV\1001_WSI_HAP_XX.wav,cremad,1001,,HAP,happy,3
data\raw\cremad\AudioWAV\1001_WSI_NEU_XX.wav,cremad,1001,,NEU,neutral,4
data\raw\cremad\AudioWAV\1001_WSI_SAD_XX.wav,cremad,1001,,SAD,sad,5
data\raw\cremad\AudioWAV\1002_DFA_ANG_XX.wav,cremad,1002,,ANG,angry,0
data\raw\cremad\AudioWAV\1002_DFA_DIS_XX.wav,cremad,1002,,DIS,disgust,1
data\raw\cremad\AudioWAV\1002_DFA_FEA_XX.wav,cremad,1002,,FEA,fear,2
data\raw\cremad\AudioWAV\1002_DFA_HAP_XX.wav,cremad,1002,,HAP,happy,3
data\raw\cremad\AudioWAV\1002_DFA_NEU_XX.wav,cremad,1002,,NEU,neutral,4
data\raw\cremad\AudioWAV\1002_DFA_SAD_XX.wav,cremad,1002,,SAD,sad,5
data\raw\cremad\AudioWAV\1002_IEO_ANG_HI.wav,cremad,1002,,ANG,angry,0
data\raw\cremad\AudioWAV\1002_IEO_ANG_LO.wav,cremad,1002,,ANG,angry,0
data\raw\cremad\AudioWAV\1002_IEO_ANG_MD.wav,cremad,1002,,ANG,angry,0
data\raw\cremad\AudioWAV\1002_IEO_DIS_HI.wav,cremad,1002,,DIS,disgust,1
data\raw\cremad\AudioWAV\1002_IEO_DIS_LO.wav,cremad,1002,,DIS,disgust,1
data\raw\cremad\AudioWAV\1002_IEO_DIS_MD.wav,cremad,1002,,DIS,disgust,1
data\raw\cremad\AudioWAV\1002_IEO_FEA_HI.wav,cremad,1002,,FEA,fear,2
data\raw\cremad\AudioWAV\1002_IEO_FEA_LO.wav,cremad,1002,,FEA,fear,2
data\raw\cremad\AudioWAV\1002_IEO_FEA_MD.wav,cremad,1002,,FEA,fear,2
data\raw\cremad\AudioWAV\1002_IEO_HAP_HI.wav,cremad,1002,,HAP,happy,3
data\raw\cremad\AudioWAV\1002_IEO_HAP_LO.wav,cremad,1002,,HAP,happy,3
data\raw\cremad\AudioWAV\1002_IEO_HAP_MD.wav,cremad,1002,,HAP,happy,3
data\raw\cremad\AudioWAV\1002_IEO_NEU_XX.wav,cremad,1002,,NEU,neutral,4
data\raw\cremad\AudioWAV\1002_IEO_SAD_HI.wav,cremad,1002,,SAD,sad,5
data\raw\cremad\AudioWAV\1002_IEO_SAD_LO.wav,cremad,1002,,SAD,sad,5
data\raw\cremad\AudioWAV\1002_IEO_SAD_MD.wav,cremad,1002,,SAD,sad,5
data\raw\cremad\AudioWAV\1002_IOM_ANG_XX.wav,cremad,1002,,ANG,angry,0
data\raw\cremad\AudioWAV\1002_IOM_DIS_XX.wav,cremad,1002,,DIS,disgust,1
data\raw\cremad\AudioWAV\1002_IOM_FEA_XX.wav,cremad,1002,,FEA,fear,2
data\raw\cremad\AudioWAV\1002_IOM_HAP_XX.wav,cremad,1002,,HAP,happy,3
data\raw\cremad\AudioWAV\1002_IOM_NEU_XX.wav,cremad,1002,,NEU,neutral,4
data\raw\cremad\AudioWAV\1002_IOM_SAD_XX.wav,cremad,1002,,SAD,sad,5
data\raw\cremad\AudioWAV\1002_ITH_ANG_XX.wav,cremad,1002,,ANG,angry,0
data\raw\cremad\AudioWAV\1002_ITH_DIS_XX.wav,cremad,1002,,DIS,disgust,1
data\raw\cremad\AudioWAV\1002_ITH_FEA_XX.wav,cremad,1002,,FEA,fear,2
data\raw\cremad\AudioWAV\1002_ITH_HAP_XX.wav,cremad,1002,,HAP,happy,3
data\raw\cremad\AudioWAV\1002_ITH_NEU_XX.wav,cremad,1002,,NEU,neutral,4
data\raw\cremad\AudioWAV\1002_ITH_SAD_XX.wav,cremad,1002,,SAD,sad,5
data\raw\cremad\AudioWAV\1002_ITS_ANG_XX.wav,cremad,1002,,ANG,angry,0
data\raw\cremad\AudioWAV\1002_ITS_DIS_XX.wav,cremad,1002,,DIS,disgust,1
data\raw\cremad\AudioWAV\1002_ITS_FEA_XX.wav,cremad,1002,,FEA,fear,2
data\raw\cremad\AudioWAV\1002_ITS_HAP_XX.wav,cremad,1002,,HAP,happy,3
data\raw\cremad\AudioWAV\1002_ITS_NEU_XX.wav,cremad,1002,,NEU,neutral,4
data\raw\cremad\AudioWAV\1002_ITS_SAD_XX.wav,cremad,1002,,SAD,sad,5
data\raw\cremad\AudioWAV\1002_IWL_ANG_XX.wav,cremad,1002,,ANG,angry,0
data\raw\cremad\AudioWAV\1002_IWL_DIS_XX.wav,cremad,1002,,DIS,disgust,1
data\raw\cremad\AudioWAV\1002_IWL_FEA_XX.wav,cremad,1002,,FEA,fear,2
data\raw\cremad\AudioWAV\1002_IWL_HAP_XX.wav,cremad,1002,,HAP,happy,3
data\raw\cremad\AudioWAV\1002_IWL_NEU_XX.wav,cremad,1002,,NEU,neutral,4
data\raw\cremad\AudioWAV\1002_IWL_SAD_XX.wav,cremad,1002,,SAD,sad,5
data\raw\cremad\AudioWAV\1002_IWW_ANG_XX.wav,cremad,1002,,ANG,angry,0
data\raw\cremad\AudioWAV\1002_IWW_DIS_XX.wav,cremad,1002,,DIS,disgust,1
data\raw\cremad\AudioWAV\1002_IWW_FEA_XX.wav,cremad,1002,,FEA,fear,2
data\raw\cremad\AudioWAV\1002_IWW_HAP_XX.wav,cremad,1002,,HAP,happy,3
data\raw\cremad\AudioWAV\1002_IWW_NEU_XX.wav,cremad,1002,,NEU,neutral,4
data\raw\cremad\AudioWAV\1002_IWW_SAD_XX.wav,cremad,1002,,SAD,sad,5
data\raw\cremad\AudioWAV\1002_MTI_ANG_XX.wav,cremad,1002,,ANG,angry,0
data\raw\cremad\AudioWAV\1002_MTI_DIS_XX.wav,cremad,1002,,DIS,disgust,1
data\raw\cremad\AudioWAV\1002_MTI_FEA_XX.wav,cremad,1002,,FEA,fear,2
data\raw\cremad\AudioWAV\1002_MTI_HAP_XX.wav,cremad,1002,,HAP,happy,3
data\raw\cremad\AudioWAV\1002_MTI_NEU_XX.wav,cremad,1002,,NEU,neutral,4
data\raw\cremad\AudioWAV\1002_MTI_SAD_XX.wav,cremad,1002,,SAD,sad,5
data\raw\cremad\AudioWAV\1002_TAI_ANG_XX.wav,cremad,1002,,ANG,angry,0
data\raw\cremad\AudioWAV\1002_TAI_DIS_XX.wav,cremad,1002,,DIS,disgust,1
data\raw\cremad\AudioWAV\1002_TAI_FEA_XX.wav,cremad,1002,,FEA,fear,2
data\raw\cremad\AudioWAV\1002_TAI_HAP_XX.wav,cremad,1002,,HAP,happy,3
data\raw\cremad\AudioWAV\1002_TAI_NEU_XX.wav,cremad,1002,,NEU,neutral,4
data\raw\cremad\AudioWAV\1002_TAI_SAD_XX.wav,cremad,1002,,SAD,sad,5
data\raw\cremad\AudioWAV\1002_TIE_ANG_XX.wav,cremad,1002,,ANG,angry,0
data\raw\cremad\AudioWAV\1002_TIE_DIS_XX.wav,cremad,1002,,DIS,disgust,1
data\raw\cremad\AudioWAV\1002_TIE_FEA_XX.wav,cremad,1002,,FEA,fear,2
data\raw\cremad\AudioWAV\1002_TIE_HAP_XX.wav,cremad,1002,,HAP,happy,3
data\raw\cremad\AudioWAV\1002_TIE_SAD_XX.wav,cremad,1002,,SAD,sad,5
data\raw\cremad\AudioWAV\1002_TSI_ANG_XX.wav,cremad,1002,,ANG,angry,0
data\raw\cremad\AudioWAV\1002_TSI_DIS_XX.wav,cremad,1002,,DIS,disgust,1
data\raw\cremad\AudioWAV\1002_TSI_FEA_XX.wav,cremad,1002,,FEA,fear,2
data\raw\cremad\AudioWAV\1002_TSI_HAP_XX.wav,cremad,1002,,HAP,happy,3
data\raw\cremad\AudioWAV\1002_TSI_NEU_XX.wav,cremad,1002,,NEU,neutral,4
data\raw\cremad\AudioWAV\1002_TSI_SAD_XX.wav,cremad,1002,,SAD,sad,5
data\raw\cremad\AudioWAV\1002_WSI_ANG_XX.wav,cremad,1002,,ANG,angry,0
data\raw\cremad\AudioWAV\1002_WSI_DIS_XX.wav,cremad,1002,,DIS,disgust,1
data\raw\cremad\AudioWAV\1002_WSI_FEA_XX.wav,cremad,1002,,FEA,fear,2
data\raw\cremad\AudioWAV\1002_WSI_HAP_XX.wav,cremad,1002,,HAP,happy,3
data\raw\cremad\AudioWAV\1002_WSI_NEU_XX.wav,cremad,1002,,NEU,neutral,4
data\raw\cremad\AudioWAV\1002_WSI_SAD_XX.wav,cremad,1002,,SAD,sad,5
data\raw\cremad\AudioWAV\1003_DFA_ANG_XX.wav,cremad,1003,,ANG,angry,0
data\raw\cremad\AudioWAV\1003_DFA_DIS_XX.wav,cremad,1003,,DIS,disgust,1
data\raw\cremad\AudioWAV\1003_DFA_FEA_XX.wav,cremad,1003,,FEA,fear,2
data\raw\cremad\AudioWAV\1003_DFA_HAP_XX.wav,cremad,1003,,HAP,happy,3
data\raw\cremad\AudioWAV\1003_DFA_NEU_XX.wav,cremad,1003,,NEU,neutral,4
data\raw\cremad\AudioWAV\1003_DFA_SAD_XX.wav,cremad,1003,,SAD,sad,5
data\raw\cremad\AudioWAV\1003_IEO_ANG_HI.wav,cremad,1003,,ANG,angry,0
data\raw\cremad\AudioWAV\1003_IEO_ANG_LO.wav,cremad,1003,,ANG,angry,0
data\raw\cremad\AudioWAV\1003_IEO_ANG_MD.wav,cremad,1003,,ANG,angry,0
data\raw\cremad\AudioWAV\1003_IEO_DIS_HI.wav,cremad,1003,,DIS,disgust,1
data\raw\cremad\AudioWAV\1003_IEO_DIS_LO.wav,cremad,1003,,DIS,disgust,1
data\raw\cremad\AudioWAV\1003_IEO_DIS_MD.wav,cremad,1003,,DIS,disgust,1
data\raw\cremad\AudioWAV\1003_IEO_FEA_HI.wav,cremad,1003,,FEA,fear,2
data\raw\cremad\AudioWAV\1003_IEO_FEA_LO.wav,cremad,1003,,FEA,fear,2
data\raw\cremad\AudioWAV\1003_IEO_FEA_MD.wav,cremad,1003,,FEA,fear,2
data\raw\cremad\AudioWAV\1003_IEO_HAP_HI.wav,cremad,1003,,HAP,happy,3
data\raw\cremad\AudioWAV\1003_IEO_HAP_LO.wav,cremad,1003,,HAP,happy,3
data\raw\cremad\AudioWAV\1003_IEO_HAP_MD.wav,cremad,1003,,HAP,happy,3
data\raw\cremad\AudioWAV\1003_IEO_NEU_XX.wav,cremad,1003,,NEU,neutral,4
data\raw\cremad\AudioWAV\1003_IEO_SAD_HI.wav,cremad,1003,,SAD,sad,5
data\raw\cremad\AudioWAV\1003_IEO_SAD_LO.wav,cremad,1003,,SAD,sad,5
data\raw\cremad\AudioWAV\1003_IEO_SAD_MD.wav,cremad,1003,,SAD,sad,5
data\raw\cremad\AudioWAV\1003_IOM_ANG_XX.wav,cremad,1003,,ANG,angry,0
data\raw\cremad\AudioWAV\1003_IOM_DIS_XX.wav,cremad,1003,,DIS,disgust,1
data\raw\cremad\AudioWAV\1003_IOM_FEA_XX.wav,cremad,1003,,FEA,fear,2
data\raw\cremad\AudioWAV\1003_IOM_HAP_XX.wav,cremad,1003,,HAP,happy,3
data\raw\cremad\AudioWAV\1003_IOM_NEU_XX.wav,cremad,1003,,NEU,neutral,4
data\raw\cremad\AudioWAV\1003_IOM_SAD_XX.wav,cremad,1003,,SAD,sad,5
data\raw\cremad\AudioWAV\1003_ITH_ANG_XX.wav,cremad,1003,,ANG,angry,0
data\raw\cremad\AudioWAV\1003_ITH_DIS_XX.wav,cremad,1003,,DIS,disgust,1
data\raw\cremad\AudioWAV\1003_ITH_FEA_XX.wav,cremad,1003,,FEA,fear,2
data\raw\cremad\AudioWAV\1003_ITH_HAP_XX.wav,cremad,1003,,HAP,happy,3
data\raw\cremad\AudioWAV\1003_ITH_NEU_XX.wav,cremad,1003,,NEU,neutral,4
data\raw\cremad\AudioWAV\1003_ITH_SAD_XX.wav,cremad,1003,,SAD,sad,5
data\raw\cremad\AudioWAV\1003_ITS_ANG_XX.wav,cremad,1003,,ANG,angry,0
data\raw\cremad\AudioWAV\1003_ITS_DIS_XX.wav,cremad,1003,,DIS,disgust,1
data\raw\cremad\AudioWAV\1003_ITS_FEA_XX.wav,cremad,1003,,FEA,fear,2
data\raw\cremad\AudioWAV\1003_ITS_HAP_XX.wav,cremad,1003,,HAP,happy,3
data\raw\cremad\AudioWAV\1003_ITS_NEU_XX.wav,cremad,1003,,NEU,neutral,4
data\raw\cremad\AudioWAV\1003_ITS_SAD_XX.wav,cremad,1003,,SAD,sad,5
data\raw\cremad\AudioWAV\1003_IWL_ANG_XX.wav,cremad,1003,,ANG,angry,0
data\raw\cremad\AudioWAV\1003_IWL_DIS_XX.wav,cremad,1003,,DIS,disgust,1
data\raw\cremad\AudioWAV\1003_IWL_FEA_XX.wav,cremad,1003,,FEA,fear,2
data\raw\cremad\AudioWAV\1003_IWL_HAP_XX.wav,cremad,1003,,HAP,happy,3
data\raw\cremad\AudioWAV\1003_IWL_NEU_XX.wav,cremad,1003,,NEU,neutral,4
data\raw\cremad\AudioWAV\1003_IWL_SAD_XX.wav,cremad,1003,,SAD,sad,5
data\raw\cremad\AudioWAV\1003_IWW_ANG_XX.wav,cremad,1003,,ANG,angry,0
data\raw\cremad\AudioWAV\1003_IWW_DIS_XX.wav,cremad,1003,,DIS,disgust,1
data\raw\cremad\AudioWAV\1003_IWW_FEA_XX.wav,cremad,1003,,FEA,fear,2
data\raw\cremad\AudioWAV\1003_IWW_HAP_XX.wav,cremad,1003,,HAP,happy,3
data\raw\cremad\AudioWAV\1003_IWW_NEU_XX.wav,cremad,1003,,NEU,neutral,4
data\raw\cremad\AudioWAV\1003_IWW_SAD_XX.wav,cremad,1003,,SAD,sad,5
data\raw\cremad\AudioWAV\1003_MTI_ANG_XX.wav,cremad,1003,,ANG,angry,0
data\raw\cremad\AudioWAV\1003_MTI_DIS_XX.wav,cremad,1003,,DIS,disgust,1
data\raw\cremad\AudioWAV\1003_MTI_FEA_XX.wav,cremad,1003,,FEA,fear,2
data\raw\cremad\AudioWAV\1003_MTI_HAP_XX.wav,cremad,1003,,HAP,happy,3
data\raw\cremad\AudioWAV\1003_MTI_NEU_XX.wav,cremad,1003,,NEU,neutral,4
data\raw\cremad\AudioWAV\1003_MTI_SAD_XX.wav,cremad,1003,,SAD,sad,5
data\raw\cremad\AudioWAV\1003_TAI_ANG_XX.wav,cremad,1003,,ANG,angry,0
data\raw\cremad\AudioWAV\1003_TAI_DIS_XX.wav,cremad,1003,,DIS,disgust,1
data\raw\cremad\AudioWAV\1003_TAI_FEA_XX.wav,cremad,1003,,FEA,fear,2
data\raw\cremad\AudioWAV\1003_TAI_HAP_XX.wav,cremad,1003,,HAP,happy,3
data\raw\cremad\AudioWAV\1003_TAI_NEU_XX.wav,cremad,1003,,NEU,neutral,4
data\raw\cremad\AudioWAV\1003_TAI_SAD_XX.wav,cremad,1003,,SAD,sad,5
data\raw\cremad\AudioWAV\1003_TIE_ANG_XX.wav,cremad,1003,,ANG,angry,0
data\raw\cremad\AudioWAV\1003_TIE_DIS_XX.wav,cremad,1003,,DIS,disgust,1
data\raw\cremad\AudioWAV\1003_TIE_FEA_XX.wav,cremad,1003,,FEA,fear,2
data\raw\cremad\AudioWAV\1003_TIE_HAP_XX.wav,cremad,1003,,HAP,happy,3
data\raw\cremad\AudioWAV\1003_TIE_NEU_XX.wav,cremad,1003,,NEU,neutral,4
data\raw\cremad\AudioWAV\1003_TIE_SAD_XX.wav,cremad,1003,,SAD,sad,5
data\raw\cremad\AudioWAV\1003_TSI_ANG_XX.wav,cremad,1003,,ANG,angry,0
data\raw\cremad\AudioWAV\1003_TSI_DIS_XX.wav,cremad,1003,,DIS,disgust,1
data\raw\cremad\AudioWAV\1003_TSI_FEA_XX.wav,cremad,1003,,FEA,fear,2
data\raw\cremad\AudioWAV\1003_TSI_HAP_XX.wav,cremad,1003,,HAP,happy,3
data\raw\cremad\AudioWAV\1003_TSI_NEU_XX.wav,cremad,1003,,NEU,neutral,4
data\raw\cremad\AudioWAV\1003_TSI_SAD_XX.wav,cremad,1003,,SAD,sad,5
data\raw\cremad\AudioWAV\1003_WSI_ANG_XX.wav,cremad,1003,,ANG,angry,0
data\raw\cremad\AudioWAV\1003_WSI_DIS_XX.wav,cremad,1003,,DIS,disgust,1
data\raw\cremad\AudioWAV\1003_WSI_FEA_XX.wav,cremad,1003,,FEA,fear,2
data\raw\cremad\AudioWAV\1003_WSI_HAP_XX.wav,cremad,1003,,HAP,happy,3
data\raw\cremad\AudioWAV\1003_WSI_NEU_XX.wav,cremad,1003,,NEU,neutral,4
data\raw\cremad\AudioWAV\1003_WSI_SAD_XX.wav,cremad,1003,,SAD,sad,5
data\raw\cremad\AudioWAV\1004_DFA_ANG_XX.wav,cremad,1004,,ANG,angry,0
data\raw\cremad\AudioWAV\1004_DFA_DIS_XX.wav,cremad,1004,,DIS,disgust,1
data\raw\cremad\AudioWAV\1004_DFA_FEA_XX.wav,cremad,1004,,FEA,fear,2
data\raw\cremad\AudioWAV\1004_DFA_HAP_XX.wav,cremad,1004,,HAP,happy,3
data\raw\cremad\AudioWAV\1004_DFA_NEU_XX.wav,cremad,1004,,NEU,neutral,4
data\raw\cremad\AudioWAV\1004_DFA_SAD_XX.wav,cremad,1004,,SAD,sad,5
data\raw\cremad\AudioWAV\1004_IEO_ANG_HI.wav,cremad,1004,,ANG,angry,0
data\raw\cremad\AudioWAV\1004_IEO_ANG_LO.wav,cremad,1004,,ANG,angry,0
data\raw\cremad\AudioWAV\1004_IEO_ANG_MD.wav,cremad,1004,,ANG,angry,0
data\raw\cremad\AudioWAV\1004_IEO_DIS_HI.wav,cremad,1004,,DIS,disgust,1
data\raw\cremad\AudioWAV\1004_IEO_DIS_LO.wav,cremad,1004,,DIS,disgust,1
data\raw\cremad\AudioWAV\1004_IEO_DIS_MD.wav,cremad,1004,,DIS,disgust,1
data\raw\cremad\AudioWAV\1004_IEO_FEA_HI.wav,cremad,1004,,FEA,fear,2
data\raw\cremad\AudioWAV\1004_IEO_FEA_LO.wav,cremad,1004,,FEA,fear,2
data\raw\cremad\AudioWAV\1004_IEO_FEA_MD.wav,cremad,1004,,FEA,fear,2
data\raw\cremad\AudioWAV\1004_IEO_HAP_HI.wav,cremad,1004,,HAP,happy,3
data\raw\cremad\AudioWAV\1004_IEO_HAP_LO.wav,cremad,1004,,HAP,happy,3
data\raw\cremad\AudioWAV\1004_IEO_HAP_MD.wav,cremad,1004,,HAP,happy,3
data\raw\cremad\AudioWAV\1004_IEO_NEU_XX.wav,cremad,1004,,NEU,neutral,4
data\raw\cremad\AudioWAV\1004_IEO_SAD_HI.wav,cremad,1004,,SAD,sad,5
data\raw\cremad\AudioWAV\1004_IEO_SAD_LO.wav,cremad,1004,,SAD,sad,5
data\raw\cremad\AudioWAV\1004_IEO_SAD_MD.wav,cremad,1004,,SAD,sad,5
data\raw\cremad\AudioWAV\1004_IOM_ANG_XX.wav,cremad,1004,,ANG,angry,0
data\raw\cremad\AudioWAV\1004_IOM_DIS_XX.wav,cremad,1004,,DIS,disgust,1
data\raw\cremad\AudioWAV\1004_IOM_FEA_XX.wav,cremad,1004,,FEA,fear,2
data\raw\cremad\AudioWAV\1004_IOM_HAP_XX.wav,cremad,1004,,HAP,happy,3
data\raw\cremad\AudioWAV\1004_IOM_NEU_XX.wav,cremad,1004,,NEU,neutral,4
data\raw\cremad\AudioWAV\1004_IOM_SAD_XX.wav,cremad,1004,,SAD,sad,5
data\raw\cremad\AudioWAV\1004_ITH_ANG_XX.wav,cremad,1004,,ANG,angry,0
data\raw\cremad\AudioWAV\1004_ITH_DIS_XX.wav,cremad,1004,,DIS,disgust,1
data\raw\cremad\AudioWAV\1004_ITH_FEA_XX.wav,cremad,1004,,FEA,fear,2
data\raw\cremad\AudioWAV\1004_ITH_HAP_XX.wav,cremad,1004,,HAP,happy,3
